,Countries,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Hungary,87.9125523,93.34671777,108.4458147,117.1761704,128.7221225,125.6417512,125.8182859,115.5019663,108.0045736,104.8041795,94.71390373,89.70595265,83.55362612,81.85874146,81.94856956,90.55049155,94.80405514
63,Iceland,318.2599463,421.4252731,551.6765541,614.0845797,675.3354513,506.0510409,453.9212548,382.6854676,330.0822376,325.1668456,281.0488617,249.8771126,199.2670969,189.5553347,180.0072474,223.2169248,203.4360926
64,India,82.01558443,90.70640613,95.50853129,104.8531739,100.2783556,106.5161701,110.8225697,109.592962,100.9320204,103.7838668,98.82557416,88.34883414,90.25569454,82.84975875,90.02423877,96.46645432,85.54682302
65,Indonesia,27.72232951,26.07426111,26.389336,26.95713917,26.78070123,27.66064808,30.69768635,34.95127062,38.72892228,40.33454331,41.85001434,40.68154735,40.36072699,41.37530713,40.78866755,42.67919583,40.33951332
66,Iran,41.96833472,47.24375225,48.57502701,45.43446755,48.45848263,50.63473499,50.44580752,51.1374934,46.03327669,50.10629661,56.68797406,60.52753551,60.84868891,55.98963,52.74487075,52.09486088,48.27119266
67,Iraq,1.230600567,1.652807998,2.030836853,2.256843998,3.579857745,5.290537811,5.233973995,5.913914194,6.351045291,6.760119287,9.228156958,9.620606289,8.597552735,7.61104451,7.629787918,12.88084347,10.08555706
68,Ireland,176.6661186,213.828441,227.1142234,283.0860249,303.1270831,310.0512569,315.0504945,312.9055035,296.1840441,300.1301997,322.8309808,303.0735809,267.9328862,265.0535314,234.6678628,216.0137433,195.3439382
69,Israel,121.3161048,121.5502317,126.4229175,120.4743038,121.8703586,121.3572581,118.6250807,116.2137202,111.9974029,110.0208954,108.8769724,109.846911,109.4551094,109.5078641,108.5190682,112.4426153,115.2057808
70,Italy,99.0835786,105.2532159,112.9639469,116.4749444,124.9935331,125.6213232,124.7200313,126.8822963,124.946954,123.1115795,118.905854,115.0125075,112.257161,110.418479,109.2914357,122.0734357,116.4610363
71,Jamaica,52.19498617,63.55238483,70.93999498,70.0299856,58.28651944,59.75369803,61.94798308,72.84969136,89.14611463,94.44674407,97.37263811,96.50442029,91.8637907,87.04974719,93.67468041,92.05056728,75.46646763
72,Japan,162.5276447,161.1122406,158.7698894,163.8331769,170.330227,162.7758241,163.0531096,161.0579194,159.5637591,157.8205632,153.8839583,155.7372026,156.2530624,159.4916988,164.4406574,184.1151712,187.0928427
73,Jordan,89.50504762,93.02265352,94.27493447,82.83782053,84.05946931,80.76796876,80.37631297,79.10555426,80.07497083,76.79400624,75.83970033,83.22070956,84.53712549,86.64685462,87.63548663,94.2496102,93.82274653
74,Kazakhstan,40.77988718,55.56699635,66.1841237,60.39798077,61.99460691,51.4085225,42.88083905,43.94368979,43.208811,42.97072056,48.80476818,50.91826298,45.83055926,41.19972511,37.92941811,39.97415918,37.36625988
75,Kenya,18.342113,19.61588239,19.83759233,21.77461337,21.54829134,23.53105708,26.60311044,25.79013272,27.78274594,33.78289882,36.02218956,34.7370994,32.39339927,30.64212839,30.17358724,31.37247799,30.15811063
76,"Korea, Republic of",136.8801297,147.8719657,153.9951625,168.343732,173.5142504,168.7073193,172.8181087,175.3377117,176.2227722,179.6266817,180.8675816,181.7158703,181.9067263,187.3623302,196.2425788,212.8031198,219.4857114
77,Kuwait,53.75390647,56.09782088,69.72196677,66.40997052,81.35847492,75.04404521,59.85714212,53.44748449,60.41987638,67.13062976,98.78377619,104.3575072,103.8473283,95.18948795,no data,no data,no data
78,Kyrgyz Republic,7.875606348,10.47709088,6.073687747,13.54153263,12.56521373,12.06338452,11.1205562,13.1203983,15.39837226,19.77915491,22.37740259,20.19410351,21.01272074,23.00257199,24.14121487,27.81456651,25.67253852
79,Lao P.D.R.,6.210071101,5.012619141,5.813092319,8.765772397,15.63181668,19.86313353,no data,no data,no data,no data,no data,no data,43.02800164,41.46415684,41.98505503,43.08997082,44.20728504
80,Latvia,85.85685766,105.8664329,109.8889289,113.8336019,138.2736333,138.9320038,131.6697831,110.3698993,103.3099902,96.00946355,86.01209354,87.30723954,84.13368982,77.74694525,76.37560601,77.1060932,67.46989565
81,Lebanon,75.03403277,77.2685849,82.93085339,78.78224594,74.39842968,84.18649619,90.56058897,91.58980611,92.97764271,99.54530772,100.9246194,105.0182839,107.1931825,105.9771772,94.1596998,66.33351143,no data
82,Lesotho,7.942991005,8.203908915,9.268346991,9.818867285,12.09476144,12.78314593,13.87441229,17.81516071,18.96644817,18.47114518,17.8580302,17.90094811,19.73916239,20.84329151,21.35107067,21.68181785,21.44258503
